match_no,Home_team_run,Home_team_wickets,Home_team_over,Away_team_run,Away_team_wickets,Away_team_over
1,182,5,19.2,178,7,20
2,191,5,20,146,7,16
3,193,6,20,143,9,20
4,131,8,20,203,5,20
5,172,2,16.2,171,7,20
6,217,7,20,205,7,20
7,162,8,20,163,4,18.1
8,192,7,20,197,4,20
9,204,7,20,123,10,17.4
10,127,5,16,121,8,20
11,199,4,20,142,9,20
12,157,8,20,159,3,18.1
13,204,4,20,207,7,20
14,145,2,17.1,143,9,20
15,212,2,20,213,9,20
16,172,10,19.4,173,4,20
17,172,8,20,175,6,20
18,153,8,20,154,4,19.5
19,205,7,20,228,4,20
20,174,6,20,151,9,20
21,159,8,20,161,8,19.3
22,186,5,17.4,185,6,20
23,177,7,20,179,7,19.2
24,218,8,20,226,6,20
25,178,10,19.5,192,5,20
26,144,6,20,154,7,20
27,150,10,18.2,174,4,20
28,128,6,19.2,127,10,20
29,138,3,18.4,134,7,20
30,128,7,20,135,6,20
31,201,6,20,214,8,20
32,189,9,20,182,6,20
33,186,8,20,235,4,20
34,137,6,20,144,9,20
35,207,6,20,152,9,20
36,179,8,20,200,5,20
37,202,5,20,170,6,20
38,201,10,19.5,257,5,20
39,179,7,20,180,3,17.5
40,188,6,20,197,6,20
41,200,4,20,201,6,20
42,214,4,19.3,212,7,20
43,108,10,19.5,126,9,20
44,125,6,20,130,8,20
45,125,7,19.2,0,0,0
46,214,3,20,216,4,18.5
47,166,8,20,171,9,20
48,118,10,17.5,119,1,13.5
49,140,4,17.4,139,8,20
50,187,3,16.4,181,4,20
51,227,2,20,171,7,20
52,214,2,20,217,6,20
53,182,5,20,179,7,20
54,200,4,16.3,199,6,20
55,167,8,20,140,8,20
56,149,8,20,151,1,13.1
57,218,5,20,191,8,20
58,182,6,20,185,3,19.2
59,136,8,20,167,7,20
60,59,10,10.3,171,5,20
61,144,6,20,147,4,18.3
62,188,9,20,154,9,20
63,177,3,20,172,5,20
64,198,8,20,213,2,20
65,186,5,20,187,2,19.2
66,187,5,20,189,6,19.4
67,146,9,20,223,3,20
68,175,7,20,176,8,20
69,201,2,18,200,5,20
70,197,5,20,198,4,19.1
