man_of_the_match,count_of
"Yashasvi Jaiswal",4
"Shubman Gill",3
"Marcus Stoinis",3
"Ravindra Jadeja",3
"Rashid Khan",2
"Varun Chakaravarthy",2
"Suryakumar Yadav",2
"Nicholas Pooran",2
"Faf du Plessis",2
"Devon Conway",2
"Rinku Singh",2
"Cameron Green",2
"Mohit Sharma",2
"Virat Kohli",2
"Arshdeep Singh",1
"Mark Wood",1
"Jos Buttler",1
"Moeen Ali",1
"Nathan Ellis",1
"Shardul Thakur",1
"Krunal Pandya",1
"Sai Sudharsan",1
"Shikhar Dhawan",1
"Rohit Sharma",1
"Ravichandran Ashwin",1
"Harry Brook",1
"Sikandar Raza",1
"Venkatesh Iyer",1
"Sam Curran",1
"Glenn Maxwell",1
"Ajinkya Rahane",1
"Axar Patel",1
"Abhinav Manohar",1
"Mohammed Siraj",1
"Joshua Little",1
"Mitchell Marsh",1
"Mohammed Shami",1
Draw,1
"Ishant Sharma",1
"Matheesha Pathirana",1
"Philip Salt",1
"Shimron Hetmyer",1
"Glenn Phillips",1
"Andre Russell",1
"Ishan Kishan",1
"Prerak Mankad",1
"Prabhsimran Singh",1
"Wayne Parnell",1
"Rilee Rossouw",1
"Devdutt Padikkal",1
"Ruturaj Gaikwad",1
