match_no,batsman,run
42,"Yashasvi Jaiswal",124
22,"Venkatesh Iyer",104
70,"Shubman Gill",104
65,"Heinrich Klaasen",104
59,"Prabhsimran Singh",103
57,"Suryakumar Yadav",103
70,"Virat Kohli",101
62,"Shubman Gill",101
19,"Harry Brook",100
69,"Cameron Green",100
65,"Virat Kohli",100
14,"Shikhar Dhawan",99
56,"Yashasvi Jaiswal",98
52,"Jos Buttler",95
51,"Shubman Gill",94
64,"Liam Livingstone",94
1,"Ruturaj Gaikwad",92
41,"Devon Conway",92
63,"Marcus Stoinis",89
50,"Philip Salt",87
67,"Devon Conway",87
8,"Shikhar Dhawan",86
67,"David Warner",86
27,"Faf du Plessis",84
5,"Tilak Varma",84
24,"Devon Conway",83
13,"Venkatesh Iyer",83
69,"Mayank Agarwal",83
54,"Suryakumar Yadav",83
5,"Virat Kohli",82
46,"Liam Livingstone",82
64,"Rilee Rossouw",82
39,"Rahmanullah Gurbaz",81
51,"Wriddhiman Saha",81
11,"Jos Buttler",79
15,"Faf du Plessis",79
57,"Rashid Khan",79
67,"Ruturaj Gaikwad",79
29,"Ruturaj Gaikwad",77
37,"Yashasvi Jaiswal",77
32,"Glenn Maxwell",77
24,"Glenn Maxwell",76
19,"Nitish Rana",75
46,"Ishan Kishan",75
21,"KL Rahul",74
14,"Rahul Tripathi",74
3,"Kyle Mayers",73
5,"Faf du Plessis",73
38,"Marcus Stoinis",72
33,"Ajinkya Rahane",71
65,"Faf du Plessis",71
51,"Quinton de Kock",70
69,"Vivrant Sharma",69
9,"Shardul Thakur",68
30,"KL Rahul",68
54,"Glenn Maxwell",68
18,"Shubman Gill",67
31,"Cameron Green",67
40,"Abhishek Sharma",67
68,"Rinku Singh",67
30,"Hardik Pandya",66
38,"Atharva Taide",66
46,"Suryakumar Yadav",66
52,"Sanju Samson",66
11,"David Warner",65
15,"Marcus Stoinis",65
16,"Rohit Sharma",65
54,"Faf du Plessis",65
25,"Cameron Green",64
58,"Prerak Mankad",64
49,"Nehal Wadhera",64
62,"Heinrich Klaasen",64
1,"Shubman Gill",63
40,"Mitchell Marsh",63
13,"Vijay Shankar",63
7,"Sai Sudharsan",62
32,"Faf du Plessis",62
24,"Faf du Plessis",62
15,"Nicholas Pooran",62
12,"Ajinkya Rahane",61
33,"Jason Roy",61
15,"Virat Kohli",61
8,"Prabhsimran Singh",60
11,"Yashasvi Jaiswal",60
23,"Sanju Samson",60
27,"Virat Kohli",59
40,"Philip Salt",59
15,"Glenn Maxwell",59
44,"Hardik Pandya",59
45,"Ayush Badoni",59
63,"Ishan Kishan",59
19,"Rinku Singh",58
22,"Ishan Kishan",58
68,"Nicholas Pooran",58
28,"David Warner",57
9,"Rahmanullah Gurbaz",57
6,"Ruturaj Gaikwad",57
21,"Sikandar Raza",57
31,"Suryakumar Yadav",57
53,"Shikhar Dhawan",57
61,"Nitish Rana",57
56,"Venkatesh Iyer",57
3,"David Warner",56
36,"Jason Roy",56
23,"Shimron Hetmyer",56
33,"Devon Conway",56
35,"Shubman Gill",56
69,"Rohit Sharma",56
4,"Sanju Samson",55
31,"Sam Curran",55
42,"Suryakumar Yadav",55
50,"Virat Kohli",55
60,"Faf du Plessis",55
52,"Abhishek Sharma",55
64,"Atharva Taide",55
16,"Axar Patel",54
4,"Yashasvi Jaiswal",54
4,"Jos Buttler",54
36,"Virat Kohli",54
38,"Kyle Mayers",54
59,"David Warner",54
50,"Mahipal Lomror",54
60,"Glenn Maxwell",54
61,"Rinku Singh",54
64,"Prithvi Shaw",54
6,"Kyle Mayers",53
40,"Heinrich Klaasen",53
13,"Sai Sudharsan",53
33,"Rinku Singh",53
70,"Vijay Shankar",53
17,"Jos Buttler",52
37,"Shivam Dube",52
32,"Devdutt Padikkal",52
24,"Shivam Dube",52
54,"Nehal Wadhera",52
16,"David Warner",51
39,"Vijay Shankar",51
26,"Kyle Mayers",51
44,"Aman Hakim Khan",51
53,"Nitish Rana",51
66,"Devdutt Padikkal",51
2,"Bhanuka Rajapaksa",50
17,"Devon Conway",50
19,"Aiden Markram",50
20,"Virat Kohli",50
20,"Manish Pandey",50
33,"Shivam Dube",50
66,"Yashasvi Jaiswal",50
39,"Shubman Gill",49
34,"Mayank Agarwal",49
46,"Jitesh Sharma",49
63,"Krunal Pandya",49
66,"Sam Curran",49
36,"Nitish Rana",48
13,"Rinku Singh",48
25,"Mayank Agarwal",48
51,"Kyle Mayers",48
61,"Shivam Dube",48
56,"Sanju Samson",48
30,"Wriddhiman Saha",47
6,"Devon Conway",47
37,"Ruturaj Gaikwad",47
32,"Yashasvi Jaiswal",47
58,"Heinrich Klaasen",47
52,"Rahul Tripathi",47
62,"Sai Sudharsan",47
27,"Prabhsimran Singh",46
9,"Rinku Singh",46
23,"David Miller",46
35,"David Miller",46
47,"Rinku Singh",46
64,"David Warner",46
66,"Shimron Hetmyer",46
38,"Nicholas Pooran",45
23,"Shubman Gill",45
42,"Tim David",45
13,"Nitish Rana",45
50,"Faf du Plessis",45
68,"Jason Roy",45
26,"Yashasvi Jaiswal",44
31,"Rohit Sharma",44
42,"Cameron Green",44
43,"Faf du Plessis",44
58,"Nicholas Pooran",44
