batsman,out_by
"Atharva Taide","Mohammed Siraj"
"Liam Livingstone","Mohammed Siraj"
"Harpreet Brar","Mohammed Siraj"
"Nathan Ellis","Mohammed Siraj"
"Shardul Thakur","Mohammed Siraj"
"Yash Dhull","Mohammed Siraj"
"Aman Hakim Khan","Mohammed Siraj"
"Ishan Kishan","Mohammed Siraj"
"Andre Russell","Mohammed Siraj"
"Jos Buttler","Mohammed Siraj"
"Ruturaj Gaikwad","Mohammed Siraj"
"Kyle Mayers","Mohammed Siraj"
"Kyle Mayers","Mohammed Siraj"
"KL Rahul","Mohammed Siraj"
"Nicholas Pooran","Mohammed Siraj"
"Yashasvi Jaiswal","Mohammed Siraj"
"Wriddhiman Saha","Mohammed Siraj"
"David Miller","Mohammed Siraj"
"Glenn Phillips","Mohammed Siraj"
